iter	Passed	Remaining
192	46649	195058
193	46904	194870
194	47138	194595
195	47388	194388
196	47628	194139
197	47851	193824
198	48084	193545
199	48337	193351
200	48576	193098
201	48816	192850
202	49050	192577
203	49314	192424
204	49578	192267
205	49828	192055
206	50061	191780
207	50290	191490
208	50538	191272
209	50787	191057
210	51002	190717
211	51220	190385
212	51452	190109
213	51665	189763
214	51874	189400
215	51973	188642
216	52192	188326
217	52410	188004
218	52666	187820
219	52916	187612
220	53174	187434
221	53413	187189
222	53638	186891
223	53911	186763
224	54181	186624
225	54467	186538
226	54711	186309
227	54951	186064
228	55211	185887
229	55456	185658
230	55707	185451
231	55963	185257
232	56231	185104
233	56447	184782
234	56667	184470
235	56902	184210
236	57117	183884
237	57342	183592
238	57558	183271
239	57793	183011
240	58015	182712
241	58238	182415
242	58492	182216
243	58750	182028
244	58986	181775
245	59287	181718
246	59554	181556
247	59829	181418
248	60085	181220
249	60322	180967
250	60560	180716
251	60822	180536
252	61048	180251
253	61317	180089
254	61559	179849
255	61821	179668
256	62050	179391
257	62310	179202
258	62543	178937
259	62810	178767
260	63097	178655
261	63362	178480
262	63639	178334
263	63904	178158
264	64147	177918
265	64406	177722
266	64650	177485
267	64925	177333
268	65169	177095
269	65400	176823
270	65625	176534
271	65886	176344
272	66144	176143
273	66390	175910
274	66672	175771
275	66938	175592
276	67182	175353
277	67418	175094
278	67693	174936
279	67995	174844
280	68226	174571
281	68462	174312
282	68679	174004
283	68908	173726
284	69139	173455
285	69380	173207
286	69667	173076
287	69920	172859
288	70181	172659
289	70465	172518
290	70724	172316
291	70982	172108
292	71231	171879
293	71484	171661
294	71723	171406
295	71975	171184
296	72229	170966
297	72505	170802
298	72771	170612
299	73057	170468
300	73317	170261
301	73562	170021
302	73824	169819
303	74116	169686
304	74359	169442
305	74608	169211
306	74852	168967
307	75113	168761
308	75346	168492
309	75585	168238
310	75802	167935
311	76048	167697
312	76282	167431
313	76524	167183
314	76784	166976
315	77027	166729
316	77287	166522
317	77556	166331
318	77806	166099
319	78081	165922
320	78321	165670
321	78560	165417
322	78814	165193
323	79072	164979
324	79318	164738
325	79547	164462
326	79808	164253
327	79928	163756
328	80256	163684
329	80552	163546
330	80807	163323
331	81045	163066
332	81282	162808
333	81526	162564
334	81813	162405
335	82052	162151
336	82293	161900
337	82558	161697
338	82662	161180
339	82905	160935
340	83159	160709
341	83425	160508
342	83690	160305
343	83942	160077
344	84184	159828
345	84419	159567
346	84660	159317
347	84889	159046
348	85114	158766
349	85372	158549
350	85611	158296
351	85857	158056
352	86104	157818
353	86377	157626
354	86650	157436
355	86917	157233
356	87170	157004
357	87422	156773
358	87662	156522
359	87937	156332
360	88192	156108
361	88468	155920
362	88741	155724
363	89035	155567
364	89302	155361
365	89565	155148
366	89827	154934
367	90066	154679
368	90315	154441
369	90560	154197
370	90800	153944
371	91099	153792
372	91354	153563
373	91591	153305
374	91818	153030
375	92050	152765
376	92294	152518
377	92547	152287
378	92838	152117
379	93094	151890
380	93362	151683
381	93603	151432
382	93860	151206
383	94094	150944
384	94328	150680
385	94563	150418
386	94813	150182
387	95064	149946
388	95308	149700
389	95536	149428
390	95803	149218
391	96050	148976
392	96327	148781
393	96566	148526
394	96823	148298
395	97057	148037
396	97316	147813
397	97575	147588
398	97806	147322
399	98050	147075
400	98305	146845
401	98617	146699
402	98869	146464
403	99158	146283
404	99272	145844
405	99525	145611
406	99781	145382
407	100024	145134
408	100254	144866
409	100488	144604
410	100713	144331
411	100942	144063
412	101198	143834
413	101449	143598
414	101726	143397
415	102002	143196
416	102265	142975
417	102508	142727
418	102757	142487
419	102999	142236
420	103262	142016
421	103534	141808
422	103801	141592
423	104067	141374
424	104345	141173
425	104596	140934
426	104849	140699
427	105091	140449
428	105350	140221
429	105612	139998
430	105889	139793
431	106143	139558
432	106383	139305
433	106617	139044
434	106858	138792
435	107102	138545
436	107348	138300
437	107572	138026
438	107804	137764
439	107973	137420
440	108229	137188
441	108523	137004
442	108817	136819
443	108944	136426
444	109211	136208
445	109494	136008
446	109751	135777
447	109996	135531
448	110223	135262
449	110505	135062
450	110746	134811
451	111009	134586
452	111260	134347
453	111492	134085
454	111747	133851
455	112012	133628
456	112259	133385
457	112495	133127
458	112730	132869
459	112992	132643
460	113227	132385
461	113468	132134
462	113707	131880
463	113981	131667
464	114251	131450
465	114525	131236
466	114757	130976
467	115000	130726
468	115255	130492
469	115491	130234
470	115732	129983
471	115981	129742
472	116226	129495
473	116443	129217
474	116671	128952
475	116907	128696
476	117138	128434
477	117405	128212
478	117699	128019
479	117958	127788
480	118246	127587
481	118483	127333
482	118765	127125
483	119049	126920
484	119325	126706
485	119587	126477
486	119842	126240
487	120117	126024
488	120375	125791
489	120489	125407
490	120734	125160
491	120999	124934
492	121249	124692
493	121503	124455
494	121743	124202
495	122014	123982
496	122258	123734
497	122485	123469
498	122712	123204
499	122950	122950
500	123216	122724
501	123441	122457
502	123680	122205
503	123938	121971
504	124171	121712
505	124404	121453
506	124636	121194
507	124906	120972
508	125171	120745
509	125422	120504
510	125671	120260
511	125929	120026
512	126183	119788
513	126420	119533
514	126657	119278
515	126906	119036
516	127177	118813
517	127442	118585
518	127715	118364
519	127985	118140
520	128235	117897
521	128481	117651
522	128722	117400
523	128996	117180
524	129246	116936
525	129499	116696
526	129759	116463
527	130014	116224
528	130247	115967
529	130535	115758
530	130770	115501
531	131016	115254
532	131273	115018
533	131521	114773
534	131755	114516
535	132004	114272
536	132234	114012
537	132473	113760
538	132713	113507
539	132940	113245
540	133175	112989
541	133423	112744
542	133704	112528
543	133960	112290
544	134216	112052
545	134463	111806
546	134714	111564
547	135000	111350
548	135294	111143
549	135566	110917
550	135840	110694
551	136108	110465
552	136369	110229
553	136629	109994
554	136941	109799
555	137182	109548
556	137429	109301
557	137674	109054
558	137929	108814
559	138202	108587
560	138450	108341
561	138686	108086
562	138955	107857
563	139213	107619
564	139446	107361
565	139667	107095
566	139906	106842
567	140139	106584
568	140372	106327
569	140630	106089
570	140902	105862
571	141142	105610
572	141389	105363
573	141650	105127
574	141898	104881
575	142148	104637
576	142382	104381
577	142625	104131
578	142887	103895
579	143118	103637
580	143350	103379
581	143605	103139
582	143859	102897
583	144090	102639
584	144394	102433
585	144659	102199
586	144905	101952
587	145180	101725
588	145436	101484
589	145677	101233
590	145933	100992
591	146181	100746
592	146422	100495
593	146703	100271
594	146954	100027
595	147209	99786
596	147450	99535
597	147706	99294
598	147937	99036
599	148182	98788
600	148431	98542
601	148663	98285
602	148909	98038
603	149153	97789
604	149386	97533
605	149652	97298
606	149914	97061
607	150179	96826
608	150447	96592
609	150699	96348
610	150972	96118
611	151249	95890
612	151537	95668
613	151784	95421
614	152043	95181
615	152315	94949
616	152564	94703
617	152814	94458
618	153065	94213
619	153338	93981
620	153609	93748
621	153862	93504
622	154145	93278
623	154419	93047
624	154708	92825
625	154967	92584
626	155214	92336
627	155447	92080
628	155683	91826
629	155937	91582
630	156168	91325
631	156445	91094
632	156704	90854
633	156947	90603
634	157183	90349
635	157472	90126
636	157743	89891
637	157985	89640
638	158238	89396
639	158485	89147
640	158766	88919
641	159033	88682
642	159288	88438
643	159531	88188
644	159792	87947
645	160054	87707
646	160298	87458
647	160551	87213
648	160815	86974
649	161060	86724
650	161305	86475
651	161552	86227
652	161800	85979
653	162055	85736
654	162306	85489
655	162595	85263
656	162841	85014
657	163122	84783
658	163363	84532
659	163601	84279
660	163830	84021
661	164079	83774
662	164333	83529
663	164572	83277
664	164810	83024
665	165045	82770
666	165271	82511
667	165550	82279
668	165826	82045
669	166087	81804
670	166352	81564
671	166617	81325
672	166882	81085
673	167143	80843
674	167386	80593
675	167643	80349
676	167871	80092
677	168129	79849
678	168379	79602
679	168647	79363
680	168935	79134
681	169246	78915
682	169510	78674
683	169778	78435
684	170019	78184
685	170284	77943
686	170527	77692
687	170785	77449
688	171065	77215
689	171327	76973
690	171564	76719
691	171801	76466
692	172040	76214
693	172269	75957
694	172497	75700
695	172770	75462
696	173015	75213
697	173290	74976
698	173544	74730
699	173801	74486
700	174033	74230
701	174286	73984
702	174515	73728
703	174766	73481
704	175043	73245
705	175291	72996
706	175530	72744
707	175786	72499
708	176027	72248
709	176279	72001
710	176514	71747
711	176779	71506
712	177013	71252
713	177252	71000
714	177511	70756
715	177769	70511
716	178009	70260
717	178251	70009
718	178505	69763
719	178747	69513
720	178989	69262
721	179224	69008
722	179474	68761
723	179723	68513
724	179977	68267
725	180207	68012
726	180424	67752
727	180645	67494
728	180878	67240
729	181156	67002
730	181420	66760
731	181692	66521
732	181942	66273
733	182209	66032
734	182470	65788
735	182774	65560
736	183042	65319
737	183308	65077
738	183584	64838
739	183860	64599
740	184108	64351
741	184375	64109
742	184620	63859
743	184875	63613
744	185119	63363
745	185393	63123
746	185640	62874
747	185892	62626
748	186149	62381
749	186385	62128
750	186645	61883
751	186891	61634
752	187119	61379
753	187369	61131
754	187607	60879
755	187845	60627
756	188081	60374
757	188312	60120
758	188561	59872
759	188824	59628
760	189074	59380
761	189380	59150
762	189641	58905
763	189881	58654
764	190129	58405
765	190376	58156
766	190621	57907
767	190900	57667
768	191162	57423
769	191423	57178
770	191686	56934
771	191943	56688
772	192205	56443
773	192494	56206
774	192749	55959
775	193001	55711
776	193241	55460
777	193479	55208
778	193743	54964
779	194024	54724
780	194271	54475
781	194547	54234
782	194778	53980
783	195041	53735
784	195271	53481
785	195525	53234
786	195781	52987
787	196039	52741
788	196270	52488
789	196536	52243
790	196771	51991
791	197011	51740
792	197231	51484
793	197489	51237
794	197749	50991
795	198018	50748
796	198275	50501
797	198553	50260
798	198797	50010
799	199048	49762
800	199316	49518
801	199576	49271
802	199818	49021
803	200070	48773
804	200353	48532
805	200633	48291
806	200889	48044
807	201142	47796
808	201413	47552
809	201715	47315
810	201967	47067
811	202226	46821
812	202483	46573
813	202758	46330
814	202993	46078
815	203209	45821
816	203441	45568
817	203687	45319
818	203931	45069
819	204163	44816
820	204398	44564
821	204659	44317
822	204903	44067
823	205160	43820
824	205427	43575
825	205685	43328
826	205925	43077
827	206190	42831
828	206430	42581
829	206682	42332
830	206975	42092
831	207240	41846
832	207505	41600
833	207755	41351
834	207988	41099
835	208249	40852
836	208486	40601
837	208737	40352
838	208975	40101
839	209215	39850
840	209448	39598
841	209713	39352
842	209981	39106
843	210228	38857
844	210500	38612
845	210781	38369
846	211052	38123
847	211302	37874
848	211635	37640
849	211882	37391
850	212130	37141
851	212373	36891
852	212608	36639
853	212853	36389
854	213105	36140
855	213356	35891
856	213606	35642
857	213861	35394
858	214159	35153
859	214454	34911
860	214707	34662
861	214970	34415
862	215246	34170
863	215543	33928
864	215826	33683
865	216076	33434
866	216345	33187
867	216602	32939
868	216875	32693
869	217142	32446
870	217396	32197
871	217663	31950
872	217945	31705
873	218185	31454
874	218445	31206
875	218693	30956
876	218927	30704
877	219200	30458
878	219439	30207
879	219664	29954
880	219922	29705
881	220165	29455
882	220426	29207
883	220671	28956
884	220930	28708
885	221227	28464
886	221523	28221
887	221795	27974
888	222075	27728
889	222328	27478
890	222597	27231
891	222854	26982
892	223103	26732
893	223368	26484
894	223619	26234
895	223869	25984
896	224116	25734
897	224367	25484
898	224627	25236
899	224858	24984
900	225100	24733
901	225347	24483
902	225606	24234
903	225870	23986
904	226128	23737
905	226395	23489
906	226649	23239
907	226936	22993
908	227168	22741
909	227415	22491
910	227657	22240
911	227903	21990
912	228142	21739
913	228394	21490
914	228622	21238
915	228855	20986
916	229071	20733
917	229317	20483
918	229567	20233
919	229833	19985
920	230088	19736
921	230359	19488
922	230645	19241
923	230936	18994
924	231199	18745
925	231456	18496
926	231720	18247
927	231982	17998
928	232262	17750
929	232558	17504
930	232823	17255
931	233117	17008
932	233395	16760
933	233663	16511
934	233923	16262
935	234180	16012
936	234443	15763
937	234691	15512
938	234960	15263
939	235206	15013
940	235429	14761
941	235669	14510
942	235904	14259
943	236162	14009
944	236405	13759
945	236668	13509
946	236927	13259
947	237193	13010
948	237451	12760
949	237703	12510
950	237958	12260
951	238209	12010
952	238452	11759
953	238715	11510
954	238960	11259
955	239212	11009
956	239471	10759
957	239734	10510
958	239987	10260
959	240244	10010
960	240499	9760
961	240748	9509
962	241004	9259
963	241256	9009
964	241503	8759
965	241774	8509
966	242039	8259
967	242288	8009
968	242580	7760
969	242861	7511
970	243151	7261
971	243421	7012
972	243669	6761
973	243910	6510
974	244168	6260
975	244414	6010
976	244643	5759
977	244878	5508
978	245127	5258
979	245391	5007
980	245664	4758
981	245924	4507
982	246195	4257
983	246455	4007
984	246706	3756
985	246960	3506
986	247238	3256
987	247499	3006
988	247768	2755
989	248027	2505
990	248277	2254
991	248519	2004
992	248771	1753
993	249046	1503
994	249337	1252
995	249608	1002
996	249863	751
997	250144	501
998	250420	250
999	250666	0
